epoch,step,train/loss,train/reward,val/reward
0,49,1.526509404182434,-9.486486434936523,
0,99,-0.8886996507644653,-8.101280212402344,
0,149,-2.932985305786133,-7.657670974731445,
0,195,,,-6.634387493133545
1,199,-32.02566909790039,-7.544292449951172,
1,249,-12.069095611572266,-7.068699836730957,
1,299,-5.382912635803223,-6.875632286071777,
1,349,-5.78326416015625,-6.868816375732422,
1,391,,,-6.461294651031494
2,399,-5.703327178955078,-6.7185773849487305,
2,449,-5.729416847229004,-6.704778671264648,
2,499,-4.729457855224609,-6.683564186096191,
2,549,-2.9872844219207764,-6.594155311584473,
2,587,,,-6.398695468902588
